Etiqueta de rotatividade,Duração da conta (em meses),Chamadas locais,Minutos Local,Chamadas internacionais,Minutos Internacional,Plano Internacional Ativo,Plano internacional,Tarifas internacionais extras,Chamadas de atendimento ao cliente,Média mensal de GB para download,Plano de Dados Ilimitado,Cobranças extras de dados,Estado,Gênero,Idade,Menos de 30,Idoso,Grupo,Número de Clientes por Grupo,Proteção de Dispositivo & Online Backup,Tipo de Contrato,Modo de Pagamento,Cobrança Mensal,Total de Cobranças,Categoria de Rotatividade,Motivo da Rotatividade
Não,1,2,6.0,0.0,0.0,Não,Não,0.0,0,0,Não,0,AZ,Masculino,34,Não,Não,Não,0,Não,Mensal,Débito Automático,11,11,,
Não,1,2,7.0,0.0,0.0,Não,Não,0.0,0,4,Sim,0,OK,Masculino,76,Não,Sim,Não,0,Não,Anual,Débito Automático,29,29,,
Não,73,162,435.5,0.0,0.0,Não,Não,0.0,0,7,Sim,0,GA,Feminino,58,Não,Não,Não,0,Não,2 Anos,Débito Automático,43,3121,,
Não,47,264,759.0,0.0,0.0,Não,Não,0.0,0,23,Sim,0,MA,Feminino,21,Sim,Não,Não,0,Sim,Mensal,Cartão de Crédito,41,1926,,
Não,10,46,105.6,0.0,0.0,Não,Não,0.0,0,2,Sim,0,GA,Masculino,51,Não,Não,Não,0,Não,Anual,Cartão de Crédito,27,262,,
Não,70,187,422.5,1050.0,1022.0,Sim,Sim,0.0,0,5,Não,36,MD,Feminino,56,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,24,1676,,
Não,20,40,141.1,0.0,0.0,Não,Não,0.0,0,0,Não,0,AR,Feminino,28,Sim,Não,Não,0,Não,Anual,Cartão de Crédito,9,180,,
Não,61,229,487.1,0.0,0.0,Não,Não,0.0,0,6,Sim,0,ID,Feminino,39,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,52,3151,,
Não,13,34,103.0,0.0,0.0,Não,Não,0.0,0,7,Sim,0,WI,Feminino,41,Não,Não,Não,0,Não,Mensal,Débito Automático,32,417,,
Não,46,234,554.8,0.0,0.0,Não,Não,0.0,0,6,Sim,0,OR,Feminino,53,Não,Não,Não,0,Não,Mensal,Débito Automático,28,1316,,
Não,2,10,17.7,0.0,0.0,Não,Não,0.0,0,24,Sim,0,MI,Masculino,22,Sim,Não,Não,0,Não,Mensal,Cartão de Crédito,21,41,,
Não,53,409,846.2,0.0,0.0,Não,Não,0.0,0,37,Sim,0,ID,Masculino,25,Sim,Não,Não,0,Não,2 Anos,Cartão de Crédito,51,2680,,
Não,66,204,397.9,0.0,0.0,Não,Não,0.0,0,3,Não,16,WY,Feminino,62,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,35,2351,,
Não,43,86,255.2,0.0,0.0,Não,Não,0.0,0,7,Sim,0,IA,Feminino,69,Não,Sim,Não,0,Não,Anual,Débito Automático,41,1761,,
Não,25,72,227.0,0.0,0.0,Não,Não,0.0,0,1,Sim,0,VA,Feminino,63,Não,Não,Não,0,Não,Anual,Cartão de Crédito,32,799,,
Não,60,233,595.4,0.0,0.0,Não,Não,0.0,0,8,Sim,0,WY,Feminino,77,Não,Sim,Não,0,Sim,Anual,Cartão de Crédito,44,2639,,
Não,63,128,316.7,0.0,0.0,Não,Não,0.0,0,3,Sim,0,CO,Feminino,43,Não,Não,Não,0,Não,Anual,Cartão de Crédito,47,2999,,
Não,65,241,456.7,0.0,0.0,Não,Não,0.0,0,2,Sim,0,CO,Masculino,82,Não,Sim,Não,0,Sim,Anual,Débito Automático,64,4167,,
Não,36,88,179.2,0.0,0.0,Não,Não,0.0,0,0,Não,0,WI,Feminino,59,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,12,440,,
Não,73,460,1022.8,0.0,0.0,Não,Não,0.0,0,7,Não,33,OK,Feminino,43,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,37,2702,,
Não,47,178,421.5,0.0,0.0,Não,Não,0.0,0,4,Sim,0,ID,Feminino,33,Não,Não,Não,0,Sim,Mensal,Débito Automático,48,2254,,
Sim,61,107,242.5,0.0,0.0,Não,Não,0.0,0,13,Sim,0,CA,Masculino,29,Sim,Não,Não,0,Não,Mensal,Débito Automático,45,2717,,
Não,70,187,492.5,0.0,0.0,Não,Não,0.0,0,9,Sim,0,MN,Masculino,35,Não,Não,Não,0,Sim,2 Anos,Débito Automático,24,1715,,
Não,18,36,123.2,0.0,0.0,Não,Não,0.0,0,1,Sim,0,SD,Feminino,46,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,19,342,,
Não,3,6,16.2,0.0,0.0,Não,Não,0.0,0,5,Sim,0,WA,Feminino,51,Não,Não,Não,0,Não,Mensal,Débito Automático,46,149,,
Não,46,300,740.2,184.0,427.8,Sim,Sim,0.0,0,15,Sim,0,WY,Masculino,35,Não,Não,Não,0,Não,Anual,Débito Automático,50,2325,,
Não,32,64,126.1,256.0,265.6,Sim,Sim,0.0,0,9,Não,32,MN,Feminino,59,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,30,960,,
Não,46,118,369.6,0.0,0.0,Não,Não,0.0,0,0,Não,0,UT,Feminino,40,Não,Não,Não,0,Não,2 Anos,Débito Automático,12,543,,
Não,11,81,166.7,0.0,0.0,Não,Não,0.0,0,14,Sim,0,TX,Masculino,29,Sim,Não,Não,0,Sim,Mensal,Cartão de Crédito,48,537,,
Não,1,4,14.0,0.0,0.0,Não,Não,0.0,0,3,Sim,0,NJ,Masculino,42,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,27,27,,
Não,53,228,695.0,0.0,0.0,Não,Não,0.0,0,0,Não,0,MN,Feminino,24,Sim,Não,Não,0,Não,Anual,Débito Automático,7,372,,
Não,64,94,254.4,0.0,0.0,Não,Não,0.0,0,5,Sim,0,NM,Masculino,76,Não,Sim,Não,0,Sim,2 Anos,Débito Automático,60,3811,,
Não,59,300,587.5,0.0,0.0,Não,Não,0.0,0,0,Não,0,NV,Masculino,39,Não,Não,Não,0,Não,2 Anos,Débito Automático,11,674,,
Não,56,168,500.0,0.0,0.0,Não,Não,0.0,0,10,Sim,0,MN,Feminino,70,Não,Sim,Não,0,Sim,Anual,Débito Automático,61,3397,,
Não,48,251,724.8,0.0,0.0,Não,Não,0.0,0,4,Sim,0,DC,Feminino,54,Não,Não,Não,0,Não,Anual,Cartão de Crédito,30,1434,,
Não,28,108,282.4,0.0,0.0,Não,Não,0.0,0,1,Sim,0,MN,Masculino,85,Não,Sim,Não,0,Não,Anual,Débito Automático,28,796,,
Não,47,116,281.8,0.0,0.0,Não,Não,0.0,0,0,Não,0,MD,Feminino,47,Não,Não,Não,0,Não,Anual,Cartão de Crédito,16,755,,
Não,42,96,291.8,0.0,0.0,Não,Não,0.0,0,9,Não,51,GA,Feminino,37,Não,Não,Não,0,Sim,Mensal,Débito Automático,59,2452,,
Não,48,96,289.8,0.0,0.0,Não,Não,0.0,0,0,Não,0,TX,Feminino,34,Não,Não,Não,0,Não,2 Anos,Débito Automático,7,340,,
Não,9,45,148.0,0.0,0.0,Não,Não,0.0,0,14,Sim,0,VT,Masculino,29,Sim,Não,Não,0,Não,Mensal,Cartão de Crédito,47,439,,
Não,36,248,534.7,0.0,0.0,Não,Não,0.0,0,6,Sim,0,IN,Feminino,55,Não,Não,Não,0,Não,Anual,Débito Automático,22,786,,
Não,51,292,767.8,0.0,0.0,Não,Não,0.0,0,0,Não,0,WV,Feminino,24,Sim,Não,Não,0,Não,2 Anos,Débito Automático,12,638,,
Não,46,145,325.3,0.0,0.0,Não,Não,0.0,0,0,Não,0,KY,Feminino,60,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,13,616,,
Não,30,67,179.4,0.0,0.0,Não,Não,0.0,0,4,Sim,0,NJ,Masculino,46,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,19,577,,
Não,1,3,7.0,0.0,0.0,Não,Não,0.0,0,0,Sim,0,LA,Masculino,76,Não,Sim,Não,0,Não,Anual,Débito Automático,42,42,,
Não,68,254,612.2,0.0,0.0,Não,Não,0.0,0,9,Sim,0,AR,Masculino,61,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,47,3187,,
Não,64,274,768.0,0.0,0.0,Não,Não,0.0,0,7,Sim,0,ME,Feminino,48,Não,Não,Não,0,Sim,Mensal,Cartão de Crédito,48,3049,,
Não,74,407,1108.9,0.0,0.0,Não,Não,0.0,0,3,Sim,0,AZ,Masculino,56,Não,Não,Não,0,Sim,2 Anos,Débito Automático,44,3237,,
Não,71,136,355.2,0.0,0.0,Não,Não,0.0,0,13,Sim,0,MT,Masculino,48,Não,Não,Não,0,Não,Anual,Cartão de Crédito,31,2180,,
Não,53,146,316.3,0.0,0.0,Não,Não,0.0,0,0,Não,0,MS,Masculino,66,Não,Sim,Não,0,Não,2 Anos,Débito Automático,7,372,,
Não,1,5,12.0,0.0,0.0,Não,Não,0.0,0,0,Não,0,IA,Masculino,19,Sim,Não,Não,0,Não,Mensal,Cartão de Crédito,12,12,,
Não,38,197,417.5,0.0,0.0,Não,Não,0.0,0,11,Sim,0,VT,Masculino,33,Não,Não,Não,0,Sim,Anual,Débito Automático,63,2392,,
Não,66,349,864.0,0.0,0.0,Não,Não,0.0,0,3,Sim,0,KY,Feminino,69,Não,Sim,Não,0,Sim,Anual,Débito Automático,26,1739,,
Não,4,11,33.0,0.0,0.0,Não,Não,0.0,0,4,Sim,0,AZ,Masculino,34,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,15,63,,
Não,70,236,701.2,0.0,0.0,Não,Não,0.0,0,12,Sim,0,MI,Feminino,27,Sim,Não,Não,0,Não,Anual,Débito Automático,66,4593,,
Não,31,213,400.0,0.0,0.0,Não,Não,0.0,0,4,Sim,0,NM,Feminino,58,Não,Não,Não,0,Não,Anual,Cartão de Crédito,13,407,,
Não,42,195,457.2,0.0,0.0,Não,Não,0.0,0,4,Sim,0,CO,Masculino,54,Não,Não,Não,0,Não,Anual,Cartão de Crédito,62,2556,,
Não,70,199,491.9,0.0,0.0,Não,Não,0.0,0,0,Não,0,UT,Masculino,37,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,12,875,,
Não,52,222,577.5,0.0,0.0,Não,Não,0.0,0,2,Sim,0,MA,Feminino,38,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,37,1939,,
Não,43,211,474.6,0.0,0.0,Não,Não,0.0,0,6,Sim,0,AL,Feminino,35,Não,Não,Não,0,Sim,Mensal,Débito Automático,57,2451,,
Não,63,249,564.3,0.0,0.0,Não,Não,0.0,0,6,Sim,0,AZ,Feminino,51,Não,Não,Não,0,Não,2 Anos,Débito Automático,27,1699,,
Não,36,235,399.0,0.0,0.0,Não,Não,0.0,0,9,Sim,0,NJ,Feminino,65,Não,Sim,Não,0,Não,2 Anos,Débito Automático,11,410,,
Não,40,118,242.7,0.0,0.0,Não,Não,0.0,0,0,Não,0,MO,Feminino,51,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,13,525,,
Não,55,89,276.3,0.0,0.0,Não,Não,0.0,0,24,Sim,0,NE,Feminino,27,Sim,Não,Não,0,Sim,Anual,Cartão de Crédito,39,2146,,
Não,5,34,76.3,0.0,0.0,Não,Não,0.0,0,0,Não,0,TX,Feminino,34,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,10,56,,
Não,34,85,306.3,0.0,0.0,Não,Não,0.0,0,5,Sim,0,AZ,Masculino,57,Não,Não,Não,0,Não,2 Anos,Débito Automático,44,1497,,
Não,73,542,1171.3,0.0,0.0,Não,Não,0.0,0,0,Não,0,MS,Masculino,49,Não,Não,Não,0,Não,2 Anos,Débito Automático,13,946,,
Não,1,6,13.0,0.0,0.0,Não,Não,0.0,0,0,Não,0,TX,Masculino,44,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,13,13,,
Não,71,296,706.0,0.0,0.0,Não,Não,0.0,0,7,Sim,0,NE,Masculino,78,Não,Sim,Não,0,Não,Anual,Débito Automático,29,2045,,
Não,14,58,127.3,0.0,0.0,Não,Não,0.0,0,7,Sim,0,NE,Feminino,48,Não,Não,Não,0,Não,Mensal,Débito Automático,35,502,,
Não,64,263,644.9,0.0,0.0,Não,Não,0.0,0,3,Sim,0,NJ,Masculino,64,Não,Não,Não,0,Não,2 Anos,Débito Automático,32,2034,,
Não,46,164,416.1,138.0,515.2,Sim,Sim,0.0,0,0,Não,0,AL,Feminino,41,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,17,768,,
Não,24,131,355.7,0.0,0.0,Não,Não,0.0,0,11,Sim,0,NY,Feminino,40,Não,Não,Não,0,Não,Mensal,Débito Automático,28,672,,
Não,63,211,506.0,0.0,0.0,Não,Não,0.0,0,0,Não,0,FL,Feminino,23,Sim,Não,Não,0,Não,2 Anos,Cartão de Crédito,9,595,,
Não,60,210,537.5,0.0,0.0,Não,Não,0.0,0,0,Não,0,AK,Masculino,62,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,13,754,,
Não,73,265,729.8,0.0,0.0,Não,Não,0.0,0,3,Sim,0,DE,Feminino,68,Não,Sim,Não,0,Sim,2 Anos,Cartão de Crédito,38,2808,,
Não,59,152,354.6,0.0,0.0,Não,Não,0.0,0,11,Sim,0,MI,Feminino,38,Não,Não,Não,0,Não,2 Anos,Débito Automático,59,3479,,
Não,63,84,313.7,0.0,0.0,Não,Não,0.0,0,4,Sim,0,VT,Masculino,33,Não,Não,Não,0,Não,Anual,Cartão de Crédito,40,2535,,
Não,73,124,366.6,511.0,1029.3,Sim,Sim,0.0,0,0,Não,0,VT,Masculino,70,Não,Sim,Não,0,Não,2 Anos,Débito Automático,8,621,,
Não,65,121,259.1,0.0,0.0,Não,Não,0.0,0,3,Sim,0,MI,Feminino,54,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,55,3552,,
Não,3,4,12.5,0.0,0.0,Não,Não,0.0,0,0,Não,0,WA,Masculino,45,Não,Não,Não,0,Não,Anual,Cartão de Crédito,9,27,,
Não,30,146,329.1,0.0,0.0,Não,Não,0.0,0,1,Não,0,LA,Masculino,50,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,42,1259,,
Não,73,170,366.6,0.0,0.0,Não,Não,0.0,0,16,Sim,0,OH,Feminino,29,Sim,Não,Não,0,Sim,Anual,Cartão de Crédito,36,2676,,
Não,61,211,484.6,0.0,0.0,Não,Não,0.0,0,6,Sim,0,RI,Masculino,49,Não,Não,Não,0,Sim,2 Anos,Débito Automático,32,1956,,
Não,22,115,281.5,0.0,0.0,Não,Não,0.0,0,8,Não,34,OH,Feminino,25,Sim,Não,Não,0,Não,Mensal,Débito Automático,43,924,,
Não,21,103,270.9,0.0,0.0,Não,Não,0.0,0,0,Não,0,VA,Masculino,36,Não,Não,Não,0,Não,Anual,Cartão de Crédito,8,169,,
Não,16,85,239.1,0.0,0.0,Não,Não,0.0,0,9,Sim,0,MO,Masculino,41,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,24,386,,
Não,10,77,137.1,0.0,0.0,Não,Não,0.0,0,0,Não,0,FL,Masculino,43,Não,Não,Não,0,Não,2 Anos,Débito Automático,15,142,,
Não,2,4,11.6,0.0,0.0,Não,Não,0.0,0,2,Sim,0,IA,Feminino,52,Não,Não,Não,0,Não,Mensal,Débito Automático,35,68,,
Não,54,330,642.7,0.0,0.0,Não,Não,0.0,0,1,Sim,0,MI,Masculino,38,Não,Não,Não,0,Sim,2 Anos,Débito Automático,43,2293,,
Não,11,84,159.0,0.0,0.0,Não,Não,0.0,0,0,Não,0,OK,Feminino,21,Sim,Não,Não,0,Não,Anual,Cartão de Crédito,10,117,,
Não,69,248,753.7,0.0,0.0,Não,Não,0.0,0,0,Não,0,DE,Masculino,43,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,10,695,,
Não,70,342,913.1,0.0,0.0,Não,Não,0.0,0,6,Sim,0,DC,Masculino,38,Não,Não,Não,0,Sim,2 Anos,Débito Automático,52,3654,,
Não,42,151,336.1,0.0,0.0,Não,Não,0.0,0,11,Sim,0,CO,Masculino,59,Não,Não,Não,0,Sim,Anual,Débito Automático,42,1778,,
Não,14,25,72.1,0.0,0.0,Não,Não,0.0,0,8,Sim,0,NM,Masculino,51,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,54,780,,
Não,32,145,350.4,0.0,0.0,Não,Não,0.0,0,0,Não,0,LA,Feminino,59,Não,Não,Não,0,Não,Anual,Débito Automático,12,372,,
Não,32,58,126.3,0.0,0.0,Não,Não,0.0,0,0,Não,0,NE,Prefer not to say,53,Não,Não,Não,0,Não,Mensal,Débito Automático,10,319,,
Não,61,298,792.0,0.0,0.0,Não,Não,0.0,0,0,Não,0,KS,Masculino,24,Sim,Não,Não,0,Não,Anual,Cartão de Crédito,9,543,,
Não,1,7,10.0,0.0,0.0,Não,Não,0.0,0,21,Sim,0,AK,Feminino,25,Sim,Não,Não,0,Não,Mensal,Cartão de Crédito,22,22,,
Não,33,75,262.6,0.0,0.0,Não,Não,0.0,0,8,Sim,0,NH,Masculino,38,Não,Não,Não,0,Sim,Anual,Cartão de Crédito,43,1411,,
Não,20,135,237.2,0.0,0.0,Não,Não,0.0,0,9,Sim,0,NY,Masculino,44,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,34,669,,
Não,3,17,43.2,0.0,0.0,Não,Não,0.0,0,30,Sim,0,AZ,Masculino,21,Sim,Não,Não,0,Não,Mensal,Débito Automático,17,45,,
Não,12,103,199.3,0.0,0.0,Não,Não,0.0,0,0,Não,0,WY,Feminino,59,Não,Não,Não,0,Não,Anual,Débito Automático,12,147,,
Não,42,236,630.5,0.0,0.0,Não,Não,0.0,0,12,Sim,0,WA,Feminino,66,Não,Sim,Não,0,Não,Mensal,Cartão de Crédito,36,1533,,
Não,44,188,397.2,0.0,0.0,Não,Não,0.0,0,26,Sim,0,CO,Masculino,24,Sim,Não,Não,0,Não,Anual,Cartão de Crédito,25,1102,,
Não,70,170,557.1,0.0,0.0,Não,Não,0.0,0,0,Não,0,KY,Feminino,41,Não,Não,Não,0,Não,2 Anos,Débito Automático,9,616,,
Não,74,520,1111.6,0.0,0.0,Não,Não,0.0,0,2,Sim,0,MT,Feminino,41,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,41,3059,,
Não,62,137,370.8,0.0,0.0,Não,Não,0.0,0,0,Não,0,OK,Masculino,36,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,7,427,,
Não,20,87,236.4,0.0,0.0,Não,Não,0.0,0,8,Sim,0,MD,Feminino,31,Não,Não,Não,0,Não,Mensal,Débito Automático,49,973,,
Não,59,141,409.9,0.0,0.0,Não,Não,0.0,0,26,Sim,0,TX,Masculino,19,Sim,Não,Não,0,Sim,Mensal,Débito Automático,60,3487,,
Não,26,157,315.7,0.0,0.0,Não,Não,0.0,0,9,Sim,0,MN,Feminino,59,Não,Não,Não,0,Não,Anual,Cartão de Crédito,52,1363,,
Não,14,54,180.6,0.0,0.0,Não,Não,0.0,0,11,Sim,0,DE,Feminino,49,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,53,733,,
Não,43,164,472.7,0.0,0.0,Não,Não,0.0,0,7,Sim,0,WA,Masculino,44,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,41,1774,,
Não,34,102,302.2,0.0,0.0,Não,Não,0.0,0,4,Sim,0,MO,Feminino,62,Não,Não,Não,0,Não,Anual,Débito Automático,37,1229,,
Não,75,126,301.5,0.0,0.0,Não,Não,0.0,0,12,Sim,0,IN,Masculino,33,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,29,2183,,
Não,65,246,714.4,0.0,0.0,Não,Não,0.0,0,23,Sim,0,RI,Masculino,22,Sim,Não,Não,0,Sim,Anual,Cartão de Crédito,61,3944,,
Não,1,5,13.0,11.0,11.9,Sim,Sim,0.0,0,1,Sim,0,AZ,Feminino,43,Não,Não,Não,0,Não,Mensal,Débito Automático,17,17,,
Não,27,219,405.0,0.0,0.0,Não,Não,0.0,0,0,Não,0,AZ,Feminino,25,Sim,Não,Não,0,Não,Anual,Débito Automático,13,348,,
Não,23,141,295.9,92.0,404.8,Sim,Sim,0.0,0,1,Sim,0,FL,Masculino,64,Não,Não,Não,0,Não,Anual,Débito Automático,37,847,,
Não,59,156,409.6,0.0,0.0,Não,Não,0.0,0,6,Sim,0,LA,Feminino,48,Não,Não,Não,0,Sim,Mensal,Débito Automático,36,2104,,
Não,69,130,346.9,0.0,0.0,Não,Não,0.0,0,9,Sim,0,FL,Masculino,45,Não,Não,Não,0,Sim,2 Anos,Cartão de Crédito,19,1302,,
Não,67,250,870.3,0.0,0.0,Não,Não,0.0,0,6,Sim,0,FL,Masculino,41,Não,Não,Não,0,Sim,2 Anos,Débito Automático,32,2174,,
Não,63,266,632.4,0.0,0.0,Não,Não,0.0,0,5,Sim,0,MD,Masculino,49,Não,Não,Não,0,Sim,2 Anos,Débito Automático,51,3242,,
Não,8,42,85.9,0.0,0.0,Não,Não,0.0,0,18,Sim,0,AL,Feminino,26,Sim,Não,Não,0,Não,Mensal,Débito Automático,34,267,,
Não,74,466,1113.3,0.0,0.0,Não,Não,0.0,0,0,Não,0,TN,Feminino,53,Não,Não,Não,0,Não,2 Anos,Débito Automático,8,617,,
Não,1,5,13.0,0.0,0.0,Não,Não,0.0,0,0,Não,0,MS,Masculino,35,Não,Não,Não,0,Não,Anual,Débito Automático,10,10,,
Não,11,36,90.7,0.0,0.0,Não,Não,0.0,0,0,Não,0,OK,Feminino,51,Não,Não,Não,0,Não,Anual,Débito Automático,8,93,,
Não,25,132,382.0,0.0,0.0,Não,Não,0.0,0,15,Sim,0,IN,Masculino,30,Não,Não,Não,0,Não,Anual,Cheque,29,727,,
Não,31,120,407.8,0.0,0.0,Não,Não,0.0,0,14,Sim,0,MO,Feminino,26,Sim,Não,Não,0,Sim,Anual,Cheque,32,1013,,
Não,30,210,484.7,0.0,0.0,Não,Não,0.0,0,1,Sim,0,VA,Masculino,66,Não,Sim,Não,0,Não,Mensal,Cartão de Crédito,41,1230,,
Não,48,60,192.6,0.0,0.0,Não,Não,0.0,0,26,Não,57,KY,Feminino,22,Sim,Não,Não,0,Não,2 Anos,Cartão de Crédito,31,1509,,
Não,53,297,746.8,106.0,556.5,Sim,Sim,0.0,0,1,Sim,0,MD,Masculino,53,Não,Não,Não,0,Não,2 Anos,Cartão de Crédito,65,3452,,
Não,51,226,609.3,306.0,561.0,Sim,Sim,0.0,0,11,Sim,0,OH,Masculino,62,Não,Não,Não,0,Não,Mensal,Cartão de Crédito,53,2713,,
Não,77,363,928.5,0.0,0.0,Não,Não,0.0,0,0,Não,0,NV,Feminino,66,Não,Sim,Não,0,Não,2 Anos,Cartão de Crédito,13,1017,,
Não,28,166,390.8,140.0,252.0,Sim,Sim,0.0,0,0,Não,0,ID,Feminino,46,Não,Não,Não,0,Não,Mensal,Débito Automático,14,397,,
Não,10,34,70.7,0.0,0.0,Não,Não,0.0,0,7,Sim,0,SD,Feminino,44,Não,Não,Não,0,Não,2 Anos,Cheque,15,156,,
Não,18,139,285.6,0.0,0.0,Não,Não,0.0,0,12,Sim,0,IL,Masculino,41,Não,Não,Não,0,Não,Mensal,Débito Automático,42,754,,
Não,14,61,129.6,0.0,0.0,Não,Não,0.0,0,0,Não,0,AL,Masculino,43,Não,Não,Não,0,Não,2 Anos,Cheque,7,99,,
Não,73,476,953.3,0.0,0.0,Não,Não,0.0,0,3,Sim,0,NJ,Feminino,36,Não,Não,Não,0,Sim,2 Anos,Débito Automático,54,3996,,
Não,72,161,360.7,144.0,885.6,Sim,Sim,0.0,0,11,Sim,0,NV,Masculino,53,Não,Não,Não,0,Sim,2 Anos,Débito Automático,71,5129,,
Não,43,81,213.4,0.0,0.0,Não,Não,0.0,0,4,Sim,0,IN,Feminino,37,Não,Não,Não,0,Não,Anual,Cartão de Crédito,31,1306,,
Não,65,258,843.6,0.0,0.0,Não,Não,0.0,0,13,Sim,0,WV,Feminino,82,Não,Sim,Não,0,Sim,Anual,Débito Automático,47,3077,,
