Etiqueta de rotatividade,Duracao da conta (em meses),Chamadas locais,Minutos Local,Chamadas internacionais,Minutos Internacional,Plano Internacional Ativo,Plano internacional,Tarifas internacionais extras,Chamadas de atendimento ao cliente,Media mensal de GB para download,Plano de Dados Ilimitado,Cobrancas extras de dados,Estado,Genero,Idade,Menos de 30,Idoso,Grupo,Numero de Clientes por Grupo,Protecao de Dispositivo & Online Backup,Tipo de Contrato,Modo de Pagamento,Cobranca Mensal,Total de Cobrancas,Categoria de Rotatividade,Motivo da Rotatividade
Nao,10,46,105.6,0.0,0.0,Nao,Nao,0.0,0,2,Sim,0,GA,Masculino,51,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,27,262,,
Nao,70,187,422.5,1050.0,1022.0,Sim,Sim,0.0,0,5,Nao,36,MD,Feminino,56,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,24,1676,,
Nao,20,40,141.1,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,AR,Feminino,28,Sim,Nao,Nao,0,Nao,Anual,Cartao de Credito,9,180,,
Nao,61,229,487.1,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,ID,Feminino,39,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,52,3151,,
Nao,13,34,103.0,0.0,0.0,Nao,Nao,0.0,0,7,Sim,0,WI,Feminino,41,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,32,417,,
Nao,46,234,554.8,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,OR,Feminino,53,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,28,1316,,
Nao,2,10,17.7,0.0,0.0,Nao,Nao,0.0,0,24,Sim,0,MI,Masculino,22,Sim,Nao,Nao,0,Nao,Mensal,Cartao de Credito,21,41,,
Nao,53,409,846.2,0.0,0.0,Nao,Nao,0.0,0,37,Sim,0,ID,Masculino,25,Sim,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,51,2680,,
Nao,66,204,397.9,0.0,0.0,Nao,Nao,0.0,0,3,Nao,16,WY,Feminino,62,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,35,2351,,
Nao,43,86,255.2,0.0,0.0,Nao,Nao,0.0,0,7,Sim,0,IA,Feminino,69,Nao,Sim,Nao,0,Nao,Anual,Debito Automatico,41,1761,,
Nao,25,72,227.0,0.0,0.0,Nao,Nao,0.0,0,1,Sim,0,VA,Feminino,63,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,32,799,,
Nao,60,233,595.4,0.0,0.0,Nao,Nao,0.0,0,8,Sim,0,WY,Feminino,77,Nao,Sim,Nao,0,Sim,Anual,Cartao de Credito,44,2639,,
Nao,63,128,316.7,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,CO,Feminino,43,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,47,2999,,
Nao,65,241,456.7,0.0,0.0,Nao,Nao,0.0,0,2,Sim,0,CO,Masculino,82,Nao,Sim,Nao,0,Sim,Anual,Debito Automatico,64,4167,,
Nao,36,88,179.2,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,WI,Feminino,59,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,12,440,,
Nao,73,460,1022.8,0.0,0.0,Nao,Nao,0.0,0,7,Nao,33,OK,Feminino,43,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,37,2702,,
Nao,47,178,421.5,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,ID,Feminino,33,Nao,Nao,Nao,0,Sim,Mensal,Debito Automatico,48,2254,,
Sim,61,107,242.5,0.0,0.0,Nao,Nao,0.0,0,13,Sim,0,CA,Masculino,29,Sim,Nao,Nao,0,Nao,Mensal,Debito Automatico,45,2717,,
Nao,70,187,492.5,0.0,0.0,Nao,Nao,0.0,0,9,Sim,0,MN,Masculino,35,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,24,1715,,
Nao,18,36,123.2,0.0,0.0,Nao,Nao,0.0,0,1,Sim,0,SD,Feminino,46,Nao,Nao,Nao,0,Sim,Anual,Cartao de Credito,19,342,,
Nao,3,6,16.2,0.0,0.0,Nao,Nao,0.0,0,5,Sim,0,WA,Feminino,51,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,46,149,,
Nao,46,300,740.2,184.0,427.8,Sim,Sim,0.0,0,15,Sim,0,WY,Masculino,35,Nao,Nao,Nao,0,Nao,Anual,Debito Automatico,50,2325,,
Nao,32,64,126.1,256.0,265.6,Sim,Sim,0.0,0,9,Nao,32,MN,Feminino,59,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,30,960,,
Nao,46,118,369.6,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,UT,Feminino,40,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,12,543,,
Nao,11,81,166.7,0.0,0.0,Nao,Nao,0.0,0,14,Sim,0,TX,Masculino,29,Sim,Nao,Nao,0,Sim,Mensal,Cartao de Credito,48,537,,
Nao,1,4,14.0,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,NJ,Masculino,42,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,27,27,,
Nao,53,228,695.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,MN,Feminino,24,Sim,Nao,Nao,0,Nao,Anual,Debito Automatico,7,372,,
Nao,64,94,254.4,0.0,0.0,Nao,Nao,0.0,0,5,Sim,0,NM,Masculino,76,Nao,Sim,Nao,0,Sim,2 Anos,Debito Automatico,60,3811,,
Nao,59,300,587.5,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,NV,Masculino,39,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,11,674,,
Nao,56,168,500.0,0.0,0.0,Nao,Nao,0.0,0,10,Sim,0,MN,Feminino,70,Nao,Sim,Nao,0,Sim,Anual,Debito Automatico,61,3397,,
Nao,48,251,724.8,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,DC,Feminino,54,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,30,1434,,
Nao,28,108,282.4,0.0,0.0,Nao,Nao,0.0,0,1,Sim,0,MN,Masculino,85,Nao,Sim,Nao,0,Nao,Anual,Debito Automatico,28,796,,
Nao,47,116,281.8,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,MD,Feminino,47,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,16,755,,
Nao,42,96,291.8,0.0,0.0,Nao,Nao,0.0,0,9,Nao,51,GA,Feminino,37,Nao,Nao,Nao,0,Sim,Mensal,Debito Automatico,59,2452,,
Nao,48,96,289.8,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,TX,Feminino,34,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,7,340,,
Nao,9,45,148.0,0.0,0.0,Nao,Nao,0.0,0,14,Sim,0,VT,Masculino,29,Sim,Nao,Nao,0,Nao,Mensal,Cartao de Credito,47,439,,
Nao,36,248,534.7,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,IN,Feminino,55,Nao,Nao,Nao,0,Nao,Anual,Debito Automatico,22,786,,
Nao,51,292,767.8,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,WV,Feminino,24,Sim,Nao,Nao,0,Nao,2 Anos,Debito Automatico,12,638,,
Nao,46,145,325.3,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,KY,Feminino,60,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,13,616,,
Nao,30,67,179.4,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,NJ,Masculino,46,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,19,577,,
Nao,1,3,7.0,0.0,0.0,Nao,Nao,0.0,0,0,Sim,0,LA,Masculino,76,Nao,Sim,Nao,0,Nao,Anual,Debito Automatico,42,42,,
Nao,68,254,612.2,0.0,0.0,Nao,Nao,0.0,0,9,Sim,0,AR,Masculino,61,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,47,3187,,
Nao,64,274,768.0,0.0,0.0,Nao,Nao,0.0,0,7,Sim,0,ME,Feminino,48,Nao,Nao,Nao,0,Sim,Mensal,Cartao de Credito,48,3049,,
Nao,74,407,1108.9,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,AZ,Masculino,56,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,44,3237,,
Nao,71,136,355.2,0.0,0.0,Nao,Nao,0.0,0,13,Sim,0,MT,Masculino,48,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,31,2180,,
Nao,53,146,316.3,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,MS,Masculino,66,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,7,372,,
Nao,1,5,12.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,IA,Masculino,19,Sim,Nao,Nao,0,Nao,Mensal,Cartao de Credito,12,12,,
Nao,38,197,417.5,0.0,0.0,Nao,Nao,0.0,0,11,Sim,0,VT,Masculino,33,Nao,Nao,Nao,0,Sim,Anual,Debito Automatico,63,2392,,
Nao,66,349,864.0,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,KY,Feminino,69,Nao,Sim,Nao,0,Sim,Anual,Debito Automatico,26,1739,,
Nao,4,11,33.0,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,AZ,Masculino,34,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,15,63,,
Nao,70,236,701.2,0.0,0.0,Nao,Nao,0.0,0,12,Sim,0,MI,Feminino,27,Sim,Nao,Nao,0,Nao,Anual,Debito Automatico,66,4593,,
Nao,31,213,400.0,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,NM,Feminino,58,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,13,407,,
Nao,42,195,457.2,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,CO,Masculino,54,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,62,2556,,
Nao,70,199,491.9,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,UT,Masculino,37,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,12,875,,
Nao,52,222,577.5,0.0,0.0,Nao,Nao,0.0,0,2,Sim,0,MA,Feminino,38,Nao,Nao,Nao,0,Sim,Anual,Cartao de Credito,37,1939,,
Nao,43,211,474.6,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,AL,Feminino,35,Nao,Nao,Nao,0,Sim,Mensal,Debito Automatico,57,2451,,
Nao,63,249,564.3,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,AZ,Feminino,51,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,27,1699,,
Nao,36,235,399.0,0.0,0.0,Nao,Nao,0.0,0,9,Sim,0,NJ,Feminino,65,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,11,410,,
Nao,40,118,242.7,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,MO,Feminino,51,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,13,525,,
Nao,55,89,276.3,0.0,0.0,Nao,Nao,0.0,0,24,Sim,0,NE,Feminino,27,Sim,Nao,Nao,0,Sim,Anual,Cartao de Credito,39,2146,,
Nao,5,34,76.3,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,TX,Feminino,34,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,10,56,,
Nao,34,85,306.3,0.0,0.0,Nao,Nao,0.0,0,5,Sim,0,AZ,Masculino,57,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,44,1497,,
Nao,73,542,1171.3,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,MS,Masculino,49,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,13,946,,
Nao,1,6,13.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,TX,Masculino,44,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,13,13,,
Nao,71,296,706.0,0.0,0.0,Nao,Nao,0.0,0,7,Sim,0,NE,Masculino,78,Nao,Sim,Nao,0,Nao,Anual,Debito Automatico,29,2045,,
Nao,14,58,127.3,0.0,0.0,Nao,Nao,0.0,0,7,Sim,0,NE,Feminino,48,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,35,502,,
Nao,64,263,644.9,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,NJ,Masculino,64,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,32,2034,,
Nao,46,164,416.1,138.0,515.2,Sim,Sim,0.0,0,0,Nao,0,AL,Feminino,41,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,17,768,,
Nao,24,131,355.7,0.0,0.0,Nao,Nao,0.0,0,11,Sim,0,NY,Feminino,40,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,28,672,,
Nao,63,211,506.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,FL,Feminino,23,Sim,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,9,595,,
Nao,60,210,537.5,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,AK,Masculino,62,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,13,754,,
Nao,73,265,729.8,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,DE,Feminino,68,Nao,Sim,Nao,0,Sim,2 Anos,Cartao de Credito,38,2808,,
Nao,59,152,354.6,0.0,0.0,Nao,Nao,0.0,0,11,Sim,0,MI,Feminino,38,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,59,3479,,
Nao,63,84,313.7,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,VT,Masculino,33,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,40,2535,,
Nao,73,124,366.6,511.0,1029.3,Sim,Sim,0.0,0,0,Nao,0,VT,Masculino,70,Nao,Sim,Nao,0,Nao,2 Anos,Debito Automatico,8,621,,
Nao,65,121,259.1,0.0,0.0,Nao,Nao,0.0,0,3,Sim,0,MI,Feminino,54,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,55,3552,,
Nao,3,4,12.5,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,WA,Masculino,45,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,9,27,,
Nao,30,146,329.1,0.0,0.0,Nao,Nao,0.0,0,1,Nao,0,LA,Masculino,50,Nao,Nao,Nao,0,Sim,Anual,Cartao de Credito,42,1259,,
Nao,73,170,366.6,0.0,0.0,Nao,Nao,0.0,0,16,Sim,0,OH,Feminino,29,Sim,Nao,Nao,0,Sim,Anual,Cartao de Credito,36,2676,,
Nao,61,211,484.6,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,RI,Masculino,49,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,32,1956,,
Nao,22,115,281.5,0.0,0.0,Nao,Nao,0.0,0,8,Nao,34,OH,Feminino,25,Sim,Nao,Nao,0,Nao,Mensal,Debito Automatico,43,924,,
Nao,21,103,270.9,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,VA,Masculino,36,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,8,169,,
Nao,16,85,239.1,0.0,0.0,Nao,Nao,0.0,0,9,Sim,0,MO,Masculino,41,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,24,386,,
Nao,10,77,137.1,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,FL,Masculino,43,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,15,142,,
Nao,2,4,11.6,0.0,0.0,Nao,Nao,0.0,0,2,Sim,0,IA,Feminino,52,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,35,68,,
Nao,54,330,642.7,0.0,0.0,Nao,Nao,0.0,0,1,Sim,0,MI,Masculino,38,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,43,2293,,
Nao,11,84,159.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,OK,Feminino,21,Sim,Nao,Nao,0,Nao,Anual,Cartao de Credito,10,117,,
Nao,69,248,753.7,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,DE,Masculino,43,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,10,695,,
Nao,70,342,913.1,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,DC,Masculino,38,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,52,3654,,
Nao,42,151,336.1,0.0,0.0,Nao,Nao,0.0,0,11,Sim,0,CO,Masculino,59,Nao,Nao,Nao,0,Sim,Anual,Debito Automatico,42,1778,,
Nao,14,25,72.1,0.0,0.0,Nao,Nao,0.0,0,8,Sim,0,NM,Masculino,51,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,54,780,,
Nao,32,145,350.4,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,LA,Feminino,59,Nao,Nao,Nao,0,Nao,Anual,Debito Automatico,12,372,,
Nao,32,58,126.3,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,NE,Prefere não declarar,53,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,10,319,,
Nao,61,298,792.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,KS,Masculino,24,Sim,Nao,Nao,0,Nao,Anual,Cartao de Credito,9,543,,
Nao,1,7,10.0,0.0,0.0,Nao,Nao,0.0,0,21,Sim,0,AK,Feminino,25,Sim,Nao,Nao,0,Nao,Mensal,Cartao de Credito,22,22,,
Nao,33,75,262.6,0.0,0.0,Nao,Nao,0.0,0,8,Sim,0,NH,Masculino,38,Nao,Nao,Nao,0,Sim,Anual,Cartao de Credito,43,1411,,
Nao,20,135,237.2,0.0,0.0,Nao,Nao,0.0,0,9,Sim,0,NY,Masculino,44,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,34,669,,
Nao,3,17,43.2,0.0,0.0,Nao,Nao,0.0,0,30,Sim,0,AZ,Masculino,21,Sim,Nao,Nao,0,Nao,Mensal,Debito Automatico,17,45,,
Nao,12,103,199.3,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,WY,Feminino,59,Nao,Nao,Nao,0,Nao,Anual,Debito Automatico,12,147,,
Nao,42,236,630.5,0.0,0.0,Nao,Nao,0.0,0,12,Sim,0,WA,Feminino,66,Nao,Sim,Nao,0,Nao,Mensal,Cartao de Credito,36,1533,,
Nao,44,188,397.2,0.0,0.0,Nao,Nao,0.0,0,26,Sim,0,CO,Masculino,24,Sim,Nao,Nao,0,Nao,Anual,Cartao de Credito,25,1102,,
Nao,70,170,557.1,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,KY,Feminino,41,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,9,616,,
Nao,74,520,1111.6,0.0,0.0,Nao,Nao,0.0,0,2,Sim,0,MT,Feminino,41,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,41,3059,,
Nao,62,137,370.8,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,OK,Masculino,36,Nao,Nao,Nao,0,Nao,2 Anos,Cartao de Credito,7,427,,
Nao,20,87,236.4,0.0,0.0,Nao,Nao,0.0,0,8,Sim,0,MD,Feminino,31,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,49,973,,
Nao,59,141,409.9,0.0,0.0,Nao,Nao,0.0,0,26,Sim,0,TX,Masculino,19,Sim,Nao,Nao,0,Sim,Mensal,Debito Automatico,60,3487,,
Nao,26,157,315.7,0.0,0.0,Nao,Nao,0.0,0,9,Sim,0,MN,Feminino,59,Nao,Nao,Nao,0,Nao,Anual,Cartao de Credito,52,1363,,
Nao,14,54,180.6,0.0,0.0,Nao,Nao,0.0,0,11,Sim,0,DE,Feminino,49,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,53,733,,
Nao,43,164,472.7,0.0,0.0,Nao,Nao,0.0,0,7,Sim,0,WA,Masculino,44,Nao,Nao,Nao,0,Nao,Mensal,Cartao de Credito,41,1774,,
Nao,34,102,302.2,0.0,0.0,Nao,Nao,0.0,0,4,Sim,0,MO,Feminino,62,Nao,Nao,Nao,0,Nao,Anual,Debito Automatico,37,1229,,
Nao,75,126,301.5,0.0,0.0,Nao,Nao,0.0,0,12,Sim,0,IN,Masculino,33,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,29,2183,,
Nao,65,246,714.4,0.0,0.0,Nao,Nao,0.0,0,23,Sim,0,RI,Masculino,22,Sim,Nao,Nao,0,Sim,Anual,Cartao de Credito,61,3944,,
Nao,1,5,13.0,11.0,11.9,Sim,Sim,0.0,0,1,Sim,0,AZ,Feminino,43,Nao,Nao,Nao,0,Nao,Mensal,Debito Automatico,17,17,,
Nao,27,219,405.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,AZ,Feminino,25,Sim,Nao,Nao,0,Nao,Anual,Debito Automatico,13,348,,
Nao,23,141,295.9,92.0,404.8,Sim,Sim,0.0,0,1,Sim,0,FL,Masculino,64,Nao,Nao,Nao,0,Nao,Anual,Debito Automatico,37,847,,
Nao,59,156,409.6,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,LA,Feminino,48,Nao,Nao,Nao,0,Sim,Mensal,Debito Automatico,36,2104,,
Nao,69,130,346.9,0.0,0.0,Nao,Nao,0.0,0,9,Sim,0,FL,Masculino,45,Nao,Nao,Nao,0,Sim,2 Anos,Cartao de Credito,19,1302,,
Nao,67,250,870.3,0.0,0.0,Nao,Nao,0.0,0,6,Sim,0,FL,Masculino,41,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,32,2174,,
Nao,63,266,632.4,0.0,0.0,Nao,Nao,0.0,0,5,Sim,0,MD,Masculino,49,Nao,Nao,Nao,0,Sim,2 Anos,Debito Automatico,51,3242,,
Nao,8,42,85.9,0.0,0.0,Nao,Nao,0.0,0,18,Sim,0,AL,Feminino,26,Sim,Nao,Nao,0,Nao,Mensal,Debito Automatico,34,267,,
Nao,74,466,1113.3,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,TN,Feminino,53,Nao,Nao,Nao,0,Nao,2 Anos,Debito Automatico,8,617,,
Nao,1,5,13.0,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,MS,Masculino,35,Nao,Nao,Nao,0,Nao,Anual,Debito Automatico,10,10,,
Nao,11,36,90.7,0.0,0.0,Nao,Nao,0.0,0,0,Nao,0,OK,Feminino,51,Nao,Nao,Nao,0,Nao,Anual,Debito Automatico,8,93,,
Nao,25,132,382.0,0.0,0.0,Nao,Nao,0.0,0,15,Sim,0,IN,Masculino,30,Nao,Nao,Nao,0,Nao,Anual,Cheque,29,727,,
Nao,31,120,407.8,0.0,0.0,Nao,Nao,0.0,0,14,Sim,0,MO,Feminino,26,Sim,Nao,Nao,0,Sim,Anual,Cheque,32,1013,,
Nao,30,210,484.7,0.0,0.0,Nao,Nao,0.0,0,1,Sim,0,VA,Masculino,66,Nao,Sim,Nao,0,Nao,Mensal,Cartao de Credito,41,1230,,
